name,alias,priority,radioDisplayName,team,radioIntercept,vduVideo,dialogue,bucket,note,
Host_IntroChallengerChampion_01,diag_ap_aiNotify_introChallengerChampion_01,0,#HOST_AI,TEAM_MILITIA,0,,Introducing your Champion and Challenger.,INTRO_CHALLENGER_CHAMPION,,
Host_IntroChallengerChampion_02,diag_ap_aiNotify_attnChallengerChampion_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: This is your Champion and Challenger,INTRO_CHALLENGER_CHAMPION,,
,,0,,,0,,,,,
Host_AI_FirstCircleTimerStart_01,diag_ap_aiNotify_circleTimerStart1st_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Beginning first circle timer.,FIRST_CIRCLE_TIMER_START,1st Circle Timer Start,
Host_AI_FirstCircleTimerStart_02,diag_ap_aiNotify_circleTimerStart1st_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Initiating first circle timer.,FIRST_CIRCLE_TIMER_START,1st Circle Timer Start,
Host_AI_NextCircleTimerStart_01,diag_ap_aiNotify_circleTimerStartNext_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Beginning new circle timer.,NEXT_CIRCLE_TIMER_START,Next Circle Timer Start,
Host_AI_NextCircleTimerStart_02,diag_ap_aiNotify_circleTimerStartNext_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Initiating new circle timer.,NEXT_CIRCLE_TIMER_START,Next Circle Timer Start,
Host_AI_CircleMoving_01,diag_ap_aiNotify_circleMoving_01,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Circle movement in progress.,CIRCLE_MOVING,Circle Moving,
Host_AI_CircleMoving_02,diag_ap_aiNotify_circleMoving_02,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Circle closing.,CIRCLE_MOVING,Circle Moving,
Host_AI_FinalCircleTimerStart_01,diag_ap_aiNotify_circleTimerStartFinal_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Beginning final circle timer.,FINAL_CIRCLE_TIMER_START,Final Circle Timer Start,
Host_AI_FinalCircleTimerStart_02,diag_ap_aiNotify_circleTimerStartFinal_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Initiating final circle timer.,FINAL_CIRCLE_TIMER_START,Final Circle Timer Start,
Host_AI_FinalCircleMoving_01,diag_ap_aiNotify_circleMovingFinal_01,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Final circle movement in progress.,FINAL_CIRCLE_MOVING,Final Circle Moving,
Host_AI_FinalCircleMoving_02,diag_ap_aiNotify_circleMovingFinal_02,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Final circle closing.,FINAL_CIRCLE_MOVING,Final Circle Moving,
Host_AI_CircleClosingToNothing_01,diag_ap_aiNotify_circleClosingFinal_01,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Circle closing completely.,CIRCLE_CLOSING_TO_NOTHING,Circle Closing To Nothing,
Host_AI_CircleClosingToNothing_02,diag_ap_aiNotify_circleClosingFinal_02,0,#HOST_AI,TEAM_MILITIA,0,,Warning: Circle nearing completion.,CIRCLE_CLOSING_TO_NOTHING,Circle Closing To Nothing,
Host_AI_TitanDrop_01,diag_ap_aiNotify_droppingTitan_01,0,#HOST_AI,TEAM_MILITIA,0,,Caution: Titanfall approaching battlefield.,TITAN_DROPPING,Titan Dropping,
Host_AI_TitanDrop_02,diag_ap_aiNotify_droppingTitan_02,0,#HOST_AI,TEAM_MILITIA,0,,Standby for Titanfall.,TITAN_DROPPING,Titan Dropping,
Host_AI_CarePackage_01,diag_ap_aiNotify_droppingCarePack_01,0,#HOST_AI,TEAM_MILITIA,0,,Care package being delivered.,CARE_PACKAGE_DROPPING,Care Package Dropping,
Host_AI_CarePackage_02,diag_ap_aiNotify_droppingCarePack_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Delivering care package.,CARE_PACKAGE_DROPPING,Care Package Dropping,
Host_AI_HoverTank,diag_ap_aiNotify_supplyShip,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Supply ship inbound,HOVER_TANK_INBOUND,Hover tanks flying in,
Host_AI_Winner_01,diag_ap_aiNotify_winnerFound_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: Winner decided.,WINNER,Winner,
Host_AI_Winner_02,diag_ap_aiNotify_winnerFound_02,0,#HOST_AI,TEAM_MILITIA,0,,A winner has been appointed.,WINNER,Winner,
Host_AI_Winner_03,diag_ap_aiNotify_winnerFound_03,0,#HOST_AI,TEAM_MILITIA,0,,Winner!.,WINNER,Winner,
Host_AI_ChampionEliminated_01,diag_ap_aiNotify_championEliminated_01,0,#HOST_AI,TEAM_MILITIA,0,,Champion eliminated.,CHAMPION_ELIMINATED,Champion Eliminated,
Host_AI_ChampionEliminated_02,diag_ap_aiNotify_championEliminated_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: The Champion has been eliminated.,CHAMPION_ELIMINATED,Champion Eliminated,
Host_AI_ChallengerEliminated_01,diag_ap_aiNotify_challengerEliminated_01,0,#HOST_AI,TEAM_MILITIA,0,,Challenger eliminated.,CHALLENGER_ELIMINATED,Challenger Eliminated,
Host_AI_ChallengerEliminated_02,diag_ap_aiNotify_challengerEliminated_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: The Challenger has been eliminated.,CHALLENGER_ELIMINATED,Challenger Eliminated,
Host_AI_WildCardEliminated_01,diag_ap_aiNotify_wildCardEliminated_01,0,#HOST_AI,TEAM_MILITIA,0,,Wild Card eliminated.,WILD_CARD_ELIMINATED,Wild Card Eliminated,
Host_AI_WildCardEliminated_02,diag_ap_aiNotify_wildCardEliminated_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: The Wild Card has been eliminated.,WILD_CARD_ELIMINATED,Wild Card Eliminated,
Host_AI_NewKillLeader_01,diag_ap_aiNotify_killLeaderNew_01,0,#HOST_AI,TEAM_MILITIA,0,,New Kill Leader appointed.,NEW_KILL_LEADER,New Kill Leader,
Host_AI_NewKillLeader_02,diag_ap_aiNotify_killLeaderNew_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: There is a new Kill Leader.,NEW_KILL_LEADER,New Kill Leader,
Host_AI_KillLeaderEliminated_01,diag_ap_aiNotify_killLeaderEliminated_01,0,#HOST_AI,TEAM_MILITIA,0,,Kill Leader eliminated.,KILL_LEADER_ELIMINATED,Kill Leader Eliminated,
Host_AI_KillLeaderEliminated_02,diag_ap_aiNotify_killLeaderEliminated_02,0,#HOST_AI,TEAM_MILITIA,0,,Attention: The Kill Leader has been eliminated.,KILL_LEADER_ELIMINATED,Kill Leader Eliminated,
,,0,,,0,,,,,
Host_AI_Begin_Round1,diag_ap_aiNotify_circleTimerStartRound1_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 1 - Beginning Ring countdown.,,,
Host_AI_Begin_Round2,diag_ap_aiNotify_circleTimerStartRound2_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 2 - Beginning Ring countdown.,,,
Host_AI_Begin_Round3,diag_ap_aiNotify_circleTimerStartRound3_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 3 - Beginning Ring countdown.,,,
Host_AI_Begin_Round4,diag_ap_aiNotify_circleTimerStartRound4_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 4 - Beginning Ring countdown.,,,
Host_AI_Begin_Round5,diag_ap_aiNotify_circleTimerStartRound5_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 5 - Beginning Ring countdown.,,,
Host_AI_Begin_Round6,diag_ap_aiNotify_circleTimerStartRound6_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 6 - Beginning Ring countdown.,,,
Host_AI_Begin_Round7,diag_ap_aiNotify_circleTimerStartRound7_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 7 - Beginning Ring countdown.,,,
Host_AI_Begin_Round8,diag_ap_aiNotify_circleTimerStartRound8_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 8 - Beginning Ring countdown.,,,
Host_AI_Begin_Round9,diag_ap_aiNotify_circleTimerStartRound9_01,0,#HOST_AI,TEAM_MILITIA,0,,Round 9 - Beginning Ring countdown.,,,
Host_AI_Begin_RoundFinal,diag_ap_aiNotify_circleTimerStartRoundFinal_01,0,#HOST_AI,TEAM_MILITIA,0,,Final Round - Beginning Ring countdown.,,,
,,0,,,0,,,,,
Host_AI_FirstBlood,diag_ap_aiNotify_diedFirst_01,0,#HOST_AI,TEAM_MILITIA,0,,Attention: First Blood,FIRST_BLOOD,,
